n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,1251,0.84345,0.15655,0.10530000000000006,-0.7412000000000001,-0.6359,0.84345,0.9777594239071775
7,4,3,1252,0.98985,0.0101,0.0041999999999999815,-1.1097,-1.1055,0.0101,0.9962455393349553
7,4,3,1253,0.99995,5e-05,0.37650000000000006,-1.9117,-1.5352,0.99995,0.9999817675367473
7,4,3,1255,0.9999,5e-05,0.35819999999999985,-1.8054,-1.4472,0.9999,0.9999625207710203
7,4,3,1256,0.988,0.01015,0.2560000000000002,-2.625,-2.3689999999999998,0.988,0.998799057142857
7,4,3,1257,0.99835,0.0008,0.33720000000000017,-2.072,-1.7348,0.99835,0.999607319015444
7,4,3,1259,0.9982,0.0017,0.11170000000000035,-2.3197,-2.2079999999999997,0.9982,0.9998783204724747
7,4,3,1260,0.9976,0.00155,0.23059999999999992,-1.6254,-1.3948,0.9976,0.9995649747754398
7,4,3,1261,0.99985,0.0001,0.20900000000000007,-2.3632,-2.1542,0.99985,0.9999772173324306
7,4,3,1262,0.82645,0.1622,0.16310000000000002,-1.7345000000000002,-1.5714000000000001,0.82645,0.9833831104064573
7,4,3,1263,0.9632,0.0368,0.029999999999999805,-2.2996,-2.2696,0.9632,0.9995199165072187
