seed,AR_max,succ,omega,deltag,deltal
15,1.0,1.0,0.99999896,0.37475261,1.0
20,1.0,1.0,1.0,0.3649096704817681,1.0
21,1.0,1.0,0.9829781806340192,0.5309797099152825,0.9848634547558812
22,0.990800827452957,0.83855,0.8005336458657485,0.242526824269104,0.9999969921451588
23,0.997271687462864,0.95065,0.9807340492258454,0.3830598868059162,1.0
24,0.996050251941568,0.93915,0.8100303515528753,0.3434736804875474,1.0
26,0.999993380406002,0.99995,0.9999722496450753,0.9768635209161758,0.9999793385189516
27,1.0,1.0,1.0,0.5540466397876409,0.7078007533488389
28,0.9993570686222136,0.99135,0.9465954013875229,0.3781626441285102,0.8220737942564619
29,0.975549639041998,0.1436,1.0,0.6270091281646087,1.0
30,0.9895273958456274,0.24955,1.0,0.618546398680002,1.0
31,0.9903330426592124,0.77185,0.8425300544919182,0.4628702165107918,1.0
33,1.0,1.0,0.9999980373829084,0.3747365300481305,0.998797033905291
34,0.9998798108108108,0.9921,0.8237633692932238,0.4612951132862392,0.999899186219603
35,1.0,1.0,0.999979648355086,0.5339277587331447,0.999779660558544
36,1.0,1.0,1.0,0.4448680271090161,0.8936770054461926
41,0.9999769545713472,0.99925,0.960723836626407,0.371658970429966,1.0
46,0.9999918374608596,0.99995,0.8756609771631467,0.37475261,0.9997730214687056
47,0.9707909781920186,0.6733,0.766360999637734,0.2960394036431752,1.0
51,1.0,1.0,1.0,0.3166748720160792,0.7467231736842869
53,0.9997896544876888,0.9934,0.6873983658470262,0.4652198283964039,1.0
54,1.0,1.0,0.99999896,0.37475261,1.0
55,0.961803236879014,0.17995,1.0,0.3884993227172308,1.0
56,0.9858725517591772,0.5732,0.7840132712372812,0.4220093536344306,1.0
59,0.999977869882926,0.99985,0.984461523165942,0.2514542152570095,0.8186766610201811
60,1.0,1.0,0.9999999999999992,0.6028880852665924,0.9984516137337012
63,1.0,1.0,0.9563013535841376,0.2832248368809161,0.9345216593529522
