n_nodos,atoms_w,atoms_l,seed,p_0,p_1,e_gap,e_0,e_1,succ,ar
7,4,3,413,0.99845,0.001,0.06349999999999989,-1.9561,-1.8926,0.99845,0.9998451842952816
7,4,3,414,1.0,0.0,0.2784,-1.8932,-1.6148,1.0,1.0
7,4,3,415,0.99445,0.0053,0.38560000000000016,-2.4062,-2.0206,0.99445,0.9990530068157261
7,4,3,416,0.64545,0.3545,0.02289999999999992,-1.8089,-1.786,0.64545,0.9954930178561556
7,4,3,417,0.99855,0.0007,0.5962999999999998,-3.3064999999999998,-2.7102,0.99855,0.9996068471193105
7,4,3,419,0.99995,5e-05,0.13160000000000016,-2.0413,-1.9097,0.99995,0.9999960882770784
7,4,3,421,1.0,0.0,0.26059999999999994,-1.8733,-1.6127,1.0,1.0
7,4,3,422,0.9992,0.0005,0.2504000000000002,-1.5296,-1.2792,0.9992,0.9998526019874477
7,4,3,424,0.9134,0.08615,0.13070000000000004,-2.6344000000000003,-2.5037000000000003,0.9134,0.995633461129669
7,4,3,425,0.99835,0.00085,0.34079999999999977,-2.2897,-1.9489,0.99835,0.999510887889243
7,4,3,426,1.0,0.0,0.31190000000000007,-2.2965,-1.9846,1.0,1.0
7,4,3,428,0.99985,0.0001,0.3206,-2.2706,-1.95,0.99985,0.9999492468950937
7,4,3,429,0.99985,0.0001,0.5893999999999999,-2.2172,-1.6278000000000001,0.99985,0.9999426799567022
7,4,3,430,0.9976,0.0024,0.13200000000000012,-1.6589,-1.5269,0.9976,0.9998090300801735
7,4,3,431,0.65445,0.3437,0.010700000000000376,-2.3892,-2.3785,0.65445,0.9983556106646575
7,4,3,432,0.8282,0.1718,0.05710000000000015,-1.3896000000000002,-1.3325,0.1718,0.9659684657455381
7,4,3,433,1.0,0.0,0.23929999999999985,-1.8368,-1.5975000000000001,1.0,1.0
7,4,3,434,0.9123,0.08755,0.05170000000000008,-2.0061,-1.9544,0.9123,0.9976813992323416
7,4,3,435,0.99995,5e-05,0.09040000000000026,-2.5155000000000003,-2.4251,0.99995,0.9999982031405287
7,4,3,436,0.99825,0.00175,0.10929999999999995,-0.8885,-0.7792,0.99825,0.9997433595948227
7,4,3,437,0.585,0.415,0.04200000000000004,-1.5292000000000001,-1.4872,0.415,0.9839327753073502
7,4,3,438,1.0,0.0,0.1647000000000003,-2.0026,-1.8378999999999999,1.0,1.0
7,4,3,439,1.0,0.0,0.05250000000000021,-1.4988000000000001,-1.4463,1.0,1.0
7,4,3,440,0.99955,0.00035,0.2699999999999996,-2.4692,-2.1992000000000003,0.99955,0.9999320954155191
7,4,3,441,0.9996,0.0004,0.23150000000000004,-1.8799,-1.6483999999999999,0.9996,0.999950742060748
7,4,3,442,0.7965,0.19195,0.040000000000000036,-1.5589,-1.5189,0.19195,0.9769187087048559
7,4,3,444,1.0,0.0,0.3164,-1.9053,-1.5889,1.0,1.0
7,4,3,446,0.9996,0.0004,0.05859999999999976,-1.9268999999999998,-1.8683,0.9996,0.9999878353832582
7,4,3,447,0.99345,0.0065,0.05820000000000003,-1.3157,-1.2575,0.99345,0.9997054115679865
7,4,3,448,1.0,0.0,0.21619999999999995,-1.9593,-1.7431,1.0,1.0
7,4,3,449,0.9968,0.0029,0.15649999999999986,-2.1206,-1.9641000000000002,0.9968,0.9996619400169765
7,4,3,450,0.5112,0.48825,0.043299999999999894,-1.5833,-1.54,0.48825,0.9859862786584982
7,4,3,451,1.0,0.0,0.41949999999999976,-2.6115,-2.192,1.0,1.0
7,4,3,452,1.0,0.0,0.24730000000000008,-1.314,-1.0667,1.0,1.0
7,4,3,455,0.36865,0.23185,0.017800000000000038,-0.9592,-0.9414,0.23185,0.9636945527522937
7,4,3,456,0.80185,0.19815,0.09189999999999998,-0.9565,-0.8646,0.80185,0.9809618557239936
7,4,3,457,0.99975,0.00015,0.1553,-2.2824,-2.1271,0.99975,0.9999631791097089
7,4,3,458,0.99955,0.00025,0.08790000000000031,-2.5494000000000003,-2.4615,0.99955,0.9999836059464972
